EpThisIter,loss_pol_surr,TimestepsSoFar,loss_pol_entpen,AI_return,EpRewMean,loss_ent,AI_distance,loss_kl,EpisodesSoFar,EpLenMean,AI_success_rate,ev_tdlam_before,loss_vf_loss,TimeElapsed
3,-0.014785162,1863,0.0,-7942.451015025911,-7942.451015025911,5.703796,17.385673547869406,0.007960123,3,621.0,0.0,1.1324882507324219e-06,118756.89,5.040014028549194
4,-0.014602659,4059,0.0,-6202.506015295505,-6202.506015295505,5.7119308,19.0197250456258,0.0075589377,7,579.8571428571429,0.0,0.004017770290374756,77996.63,9.724770784378052
4,-0.014837955,6006,0.0,-5782.485409577075,-5782.485409577075,5.717753,17.530561768551234,0.008096769,11,546.0,0.0,-0.016667604446411133,100819.47,14.40805196762085
2,-0.013086588,7853,0.0,-5920.852763222859,-5920.852763222859,5.6679034,17.407811548390928,0.007990541,13,604.0769230769231,0.0,0.032001793384552,108785.64,19.07371711730957
5,-0.015271714,10205,0.0,-7577.519331653706,-7577.519331653706,5.695622,18.9269137913081,0.0064998395,18,566.9444444444445,0.0,0.01192164421081543,287101.66,23.760761499404907
3,-0.015172929,12042,0.0,-9303.233336103565,-9303.233336103565,5.68463,20.511646730535844,0.0065257847,21,573.4285714285714,0.0,0.04773801565170288,356427.56,28.38224959373474
4,-0.0164036,14086,0.0,-9428.820883349717,-9428.820883349717,5.7289414,21.128726460144367,0.007068444,25,563.44,0.0,0.030308961868286133,157872.81,33.04562020301819
2,-0.018593153,14993,0.0,-9684.998832218878,-9684.998832218878,5.726848,21.286214256862795,0.00840817,27,555.2962962962963,0.0,-0.0017573833465576172,233793.4,37.711888790130615
3,-0.010107571,18328,0.0,-9601.807063447535,-9601.807063447535,5.7633805,20.79518212472071,0.005638737,30,610.9333333333333,0.0,0.00028198957443237305,131319.33,42.373915672302246
2,-0.019389998,19815,0.0,-9795.538693795908,-9795.538693795908,5.743526,20.964303860080115,0.009745489,32,619.21875,0.0,0.0013747811317443848,209184.89,47.07100486755371
4,-0.019922499,22285,0.0,-9972.96584212773,-9972.96584212773,5.746277,21.247020736164806,0.007861992,36,619.0277777777778,0.0,-0.002391219139099121,157511.89,51.81260561943054
3,-0.01882801,24497,0.0,-10591.884700938073,-10591.884700938073,5.725496,21.639432119885157,0.00988549,39,628.1282051282051,0.0,0.003091156482696533,243556.31,56.48049759864807
7,-0.018724535,26368,0.0,-9333.638989647166,-9333.638989647166,5.757314,20.619178192561446,0.008795588,46,573.2173913043479,0.0,0.0008295178413391113,111203.33,61.12911677360535
2,-0.014086158,28282,0.0,-9539.072483065434,-9539.072483065434,5.775559,20.7434581352114,0.006265488,48,589.2083333333334,0.0,7.027387619018555e-05,143884.1,65.81296753883362
5,-0.018178113,30283,0.0,-9205.742517508002,-9205.742517508002,5.7895913,20.445487565761322,0.008364076,53,571.377358490566,0.0,6.723403930664062e-05,132551.97,70.4911961555481
1,-0.014020258,31844,0.0,-9331.191684540478,-9331.191684540478,5.76826,20.547315240985156,0.006893638,54,589.7037037037037,0.0,0.0062261223793029785,98980.45,75.15007328987122
4,-0.019135837,34143,0.0,-9280.644464582845,-9280.644464582845,5.7763324,20.562763471928864,0.0072931075,58,588.6724137931035,0.0,-0.0038661956787109375,186503.53,79.7934672832489
3,-0.015454391,36452,0.0,-9653.887687753351,-9653.887687753351,5.7492213,20.785199254255076,0.005390988,61,597.5737704918033,0.0,0.0006461739540100098,185039.98,84.51723098754883
6,-0.017491968,38682,0.0,-9223.91287600586,-9223.91287600586,5.7478633,20.266604232627692,0.008809434,67,577.3432835820895,0.0,3.0040740966796875e-05,155326.39,89.19935393333435
4,-0.016431881,40825,0.0,-9003.857182753462,-9003.857182753462,5.7575517,20.28445771963084,0.009211616,71,575.0,0.0,-0.000614166259765625,116199.48,93.86125254631042
11,-0.015753575,42986,0.0,-8068.051329161757,-8068.051329161757,5.7726645,19.099182999705,0.007731311,82,524.219512195122,0.0,0.0004965662956237793,54754.9,98.6154568195343
4,-0.017080044,44973,0.0,-8146.094518495807,-8146.094518495807,5.765013,19.087264140060398,0.0068989666,86,522.9418604651163,0.0,0.00018590688705444336,163685.64,103.33989548683167
3,-0.017945414,46967,0.0,-7963.468988373812,-7963.468988373812,5.735188,18.947490925675535,0.0069898223,89,527.7191011235955,0.0,-3.814697265625e-06,132507.92,107.996741771698
4,-0.020780465,48205,0.0,-7866.307823834067,-7866.307823834067,5.726202,18.83984423147127,0.008630719,93,518.3333333333334,0.0,0.0018029212951660156,193986.0,112.65769386291504
3,-0.016237058,50618,0.0,-7977.249630457969,-7977.249630457969,5.717442,18.84381152684531,0.0072208475,96,527.2708333333334,0.0,0.00467759370803833,123400.31,117.3064022064209
1,-0.0151381325,51813,0.0,-8125.738777737249,-8125.738777737249,5.687923,18.958870097236304,0.005896664,97,534.1546391752578,0.0,-1.9431114196777344e-05,115386.94,122.00142478942871
3,-0.014479324,55124,0.0,-7994.313159816254,-7994.313159816254,5.6081038,18.801329795811682,0.0073535736,100,551.24,0.0,-3.62396240234375e-05,97027.22,126.68544864654541
4,-0.0125651425,57072,0.0,-7776.520428560934,-7837.1085605476155,5.6081386,18.64201655774416,0.0073945294,104,546.03,0.0,-2.5033950805664062e-06,112580.125,131.3705976009369
3,-0.016318811,59183,0.0,-7792.276810250213,-7903.560765897044,5.607116,18.664325174472218,0.0073570204,107,551.24,0.0,0.00034868717193603516,80606.555,135.99115443229675
3,-0.01273713,61189,0.0,-7816.942569650621,-7987.027828250975,5.600203,18.727399229124913,0.0071077594,110,553.4,0.0,0.0001634359359741211,159140.27,140.65615367889404
2,-0.011689544,63279,0.0,-7803.840998123043,-8043.246979534438,5.6070857,18.658463130499747,0.0058512916,112,562.79,0.0,0.00039577484130859375,100206.03,145.31608390808105
4,-0.017876007,65060,0.0,-7751.347550355739,-7712.86704079175,5.592253,18.63584809089025,0.007869663,116,552.15,0.0,0.003429889678955078,104871.11,150.01297640800476
6,-0.0151569685,67325,0.0,-7702.970875030151,-7364.265020708434,5.618062,18.653298542101346,0.0059395074,122,548.8,0.0,0.004024088382720947,146824.67,154.6589322090149
3,-0.014608862,69406,0.0,-7819.347593484783,-7416.979271018549,5.626799,18.68094969053791,0.0059690494,125,553.2,0.0,0.0012112259864807129,134824.02,159.3960039615631
1,-0.013989171,70775,0.0,-7838.753944543337,-7300.604816256866,5.6072555,18.681946661894816,0.008355803,126,560.53,0.0,0.00014764070510864258,92304.69,164.05795860290527
