EpisodesSoFar,AI_success_rate,EpRewMean,AI_distance,loss_vf_loss,TimestepsSoFar,loss_ent,EpLenMean,TimeElapsed,loss_kl,loss_pol_entpen,ev_tdlam_before,AI_return,loss_pol_surr,EpThisIter
3,0.0,-1411.9919005230431,12.594990243520563,117166.34,1671,5.6974587,557.0,4.92997407913208,0.0056692827,0.0,1.1324882507324219e-05,-1411.9919005230431,-0.010746999,3
9,0.0,-4371.369329140887,14.14098613635881,83110.875,4044,5.6604257,449.3333333333333,9.54980731010437,0.007171232,0.0,0.052245914936065674,-4371.369329140887,-0.0158778,6
14,0.0,-4719.825441920354,14.700840753628182,122762.914,6085,5.6697593,434.64285714285717,14.1204674243927,0.006769676,0.0,0.005433261394500732,-4719.825441920354,-0.0146939475,5
18,0.0,-5002.821184591921,15.957139579990496,120102.555,7926,5.6553497,440.3333333333333,18.67047095298767,0.0080763865,0.0,-0.00568234920501709,-5002.821184591921,-0.016817858,4
24,0.0,-5840.934736198799,16.830695234443716,223083.98,9926,5.611979,413.5833333333333,23.21515464782715,0.0072968476,0.0,0.049730777740478516,-5840.934736198799,-0.017031368,6
27,0.0,-6229.921046074695,17.161822381544514,135798.53,11926,5.636418,441.7037037037037,27.792374849319458,0.0066799303,0.0,0.004008948802947998,-6229.921046074695,-0.010640436,3
35,0.0,-5066.364944885523,15.963891152212101,113321.42,13853,5.6536546,395.8,32.37643837928772,0.008025684,0.0,0.01721423864364624,-5066.364944885523,-0.015874412,8
41,0.0,-5092.578409969634,16.446255329576697,145975.88,16086,5.634994,392.3414634146341,37.023805141448975,0.0082993815,0.0,-0.009176373481750488,-5092.578409969634,-0.019946817,6
46,0.0,-5225.134215531984,16.507600704337626,150369.88,18167,5.6626754,394.9347826086956,41.626431941986084,0.0074792164,0.0,0.026441633701324463,-5225.134215531984,-0.018386643,5
53,0.0,-4845.656044361868,16.111552224381157,108184.414,20437,5.65799,385.60377358490564,46.24251437187195,0.0073553924,0.0,-0.009171009063720703,-4845.656044361868,-0.012062777,7
60,0.0,-4643.979790447612,16.39640853980105,109564.234,22394,5.6663413,373.23333333333335,50.92057991027832,0.008067393,0.0,0.0014873743057250977,-4643.979790447612,-0.016358968,7
67,0.0,-4449.850275435722,16.317968522709897,77250.0,24499,5.646485,365.65671641791045,55.48371148109436,0.009166479,0.0,0.00033605098724365234,-4449.850275435722,-0.018402826,7
75,0.0,-4179.266626784144,15.759866837875734,69867.125,26055,5.6203504,347.4,60.04917860031128,0.0077162106,0.0,0.00020581483840942383,-4179.266626784144,-0.0163036,8
83,0.0,-4157.973703241719,15.696296682333378,97871.22,28663,5.631988,345.33734939759034,64.65749311447144,0.0074340967,0.0,2.7358531951904297e-05,-4157.973703241719,-0.01698193,8
91,0.0,-4159.377029870292,15.679245508743952,134847.44,30621,5.631902,336.4945054945055,69.26588320732117,0.0068270518,0.0,0.00026619434356689453,-4159.377029870292,-0.016012516,8
96,0.0,-4053.23421931954,15.675677186801607,91816.336,32606,5.615956,339.6458333333333,73.87635946273804,0.0072214603,0.0,-0.0018836259841918945,-4053.23421931954,-0.017309144,5
102,0.0,-3910.0866532604728,15.684058149990578,83588.64,34469,5.5863357,331.19,78.45565867424011,0.008108771,0.0,0.0003777146339416504,-3932.9802093796047,-0.019433659,6
107,0.0,-3910.6486178143205,15.624701371913513,143160.56,36852,5.575902,332.65,83.03654789924622,0.006459688,0.0,0.00017768144607543945,-3941.5982434489633,-0.01716704,5
113,0.0,-3720.4075695123756,15.510107135245335,92015.484,38838,5.5895343,329.35,87.62965512275696,0.005737235,0.0,-9.298324584960938e-06,-3865.878381187123,-0.016452203,6
116,0.0,-3733.564740637176,15.560484104963539,73339.57,40940,5.5485673,337.08,92.19847440719604,0.006179656,0.0,-3.886222839355469e-05,-3907.107439238107,-0.01408091,3
120,0.0,-3585.121336837971,15.584533396903499,116010.43,42664,5.5098414,338.92,96.83263421058655,0.0095820865,0.0,9.816884994506836e-05,-3904.5032609645577,-0.018468026,4
123,0.0,-3706.1267323935417,15.761197897078445,121266.72,44525,5.4843583,349.55,101.4512710571289,0.0052373884,0.0,0.0003885626792907715,-4101.829404522472,-0.012370656,3
128,0.0,-3501.618068177745,15.72524100240921,88162.375,46547,5.4569087,342.41,105.99808239936829,0.006410979,0.0,0.0002544522285461426,-4075.4624018824634,-0.014351066,5
133,0.0,-3778.717493964363,15.859238345837987,183574.22,49027,5.431789,356.5,110.5791220664978,0.0072821984,0.0,3.075599670410156e-05,-4202.553720508975,-0.013610315,5
136,0.0,-3951.818971155735,16.02291302046124,163137.98,50968,5.428599,364.86,115.14021706581116,0.007616396,0.0,0.00036901235580444336,-4337.661380606986,-0.015534874,3
140,0.0,-4216.760624766813,16.09163917551049,138118.95,53005,5.425487,373.53,119.67312788963318,0.0071287453,0.0,0.0005808472633361816,-4442.304948717351,-0.015100708,4
143,0.0,-4108.515378558696,16.105327086363694,189886.97,55148,5.4271903,379.13,124.25596404075623,0.007223542,0.0,-7.271766662597656e-06,-4472.805409504861,-0.0146990875,3
148,0.0,-4053.700806896394,15.983590053935467,75023.88,57251,5.419048,381.76,128.78224110603333,0.008758327,0.0,-7.510185241699219e-06,-4395.52285890912,-0.018125895,5
153,0.0,-4393.776215562038,16.30759723472115,205295.38,59269,5.418258,388.32,133.3348352909088,0.007105543,0.0,0.0003846287727355957,-4550.309751028645,-0.0153587535,5
160,0.0,-4642.437876023141,16.45452671681279,209870.47,61154,5.380861,387.6,137.96009492874146,0.00779764,0.0,0.002011716365814209,-4643.016093932318,-0.018864356,7
162,0.0,-4903.426465470584,16.587347716593538,91423.34,63439,5.4265995,407.12,142.5697202682495,0.006199724,0.0,-1.9788742065429688e-05,-4770.741076424196,-0.01400962,2
166,0.0,-4977.7188123627675,16.58399117002288,192200.03,65304,5.399568,410.34,147.31695365905762,0.0073861824,0.0,0.00029349327087402344,-4776.752507063019,-0.016046418,4
173,0.0,-5066.120530458443,16.58893124451255,118412.35,67582,5.405512,417.69,151.90043354034424,0.010054436,0.0,0.0028087496757507324,-4726.343380121208,-0.022218764,7
181,0.0,-4864.376030536658,16.36565136702976,102906.2,69401,5.405873,409.62,156.61681270599365,0.0073476606,0.0,0.00012117624282836914,-4576.400841277421,-0.015956795,8
184,0.0,-5242.751338046642,16.523120840777413,263029.38,71199,5.4192185,422.88,161.19171476364136,0.0070290556,0.0,0.0006899237632751465,-4750.93044979951,-0.014692064,3
189,0.0,-5170.92724734776,16.371484376980554,177769.97,73388,5.3840375,431.39,165.75750708580017,0.0054001054,0.0,0.0005251169204711914,-4700.381737241346,-0.014843819,5
194,0.0,-5308.994247397775,16.31254761350958,107754.56,74956,5.3763633,429.87,170.31242990493774,0.0069395714,0.0,0.0019945502281188965,-4699.784666854942,-0.016789757,5
198,0.0,-5408.681194596894,16.267769808088143,123829.19,77360,5.420668,442.89,174.87025594711304,0.006140653,0.0,0.001949012279510498,-4705.268635512352,-0.012496294,4
202,0.0,-5460.144914353211,16.307565366411485,68630.375,79662,5.4440007,451.93,179.4677710533142,0.00603112,0.0,0.0009298920631408691,-4689.002340554657,-0.014313084,4
205,0.0,-5393.622326732908,16.23480155612901,68304.42,81567,5.4625797,458.98,184.02196288108826,0.006211681,0.0,0.05094194412231445,-4639.227982366884,-0.015231408,3
210,0.0,-5602.820751642059,16.302168043499027,99279.88,83589,5.452703,457.56,188.59059739112854,0.007919436,0.0,0.39141541719436646,-4694.346389561132,-0.016631966,5
213,0.0,-5659.5432621293585,16.266186134745006,108866.94,85851,5.427424,470.13,193.20360398292542,0.009231882,0.0,0.3103485703468323,-4707.974569422914,-0.01985266,3
217,0.0,-5687.145445146645,16.16486003838716,59652.54,87857,5.4331555,463.61,197.78242087364197,0.007139807,0.0,0.3396027088165283,-4693.5501739257625,-0.014885068,4
221,0.0,-5505.822524291086,16.21665515098819,66646.59,90034,5.4149985,463.87,202.3058099746704,0.0048224395,0.0,0.3159903883934021,-4698.251104344938,-0.013934475,4
224,0.0,-5402.341515280775,16.18042473321847,60576.66,91768,5.4356284,464.84,206.86271500587463,0.0072410204,0.0,0.25278979539871216,-4671.98754149527,-0.016555332,3
228,0.0,-5429.090936165522,16.18099763659476,153917.17,93781,5.433146,472.34,211.4158284664154,0.0067211622,0.0,0.4459611177444458,-4669.1591274452085,-0.01853547,4
233,0.0,-5130.702002384109,16.089868754352235,76976.74,95898,5.418691,468.71,216.00392055511475,0.005779168,0.0,0.5141116976737976,-4600.900622601307,-0.013561932,5
237,0.0,-5155.5984974821595,16.204742956655668,155276.08,98283,5.412706,469.39,220.55201148986816,0.007915963,0.0,0.47700631618499756,-4683.412844400771,-0.016977033,4
242,0.0,-5145.5745052592865,16.253305545409354,149147.78,100352,5.3902144,459.36,225.0890769958496,0.006840546,0.0,0.5875577330589294,-4745.258883079021,-0.015828926,5
244,0.0,-5439.683889706847,16.35465919862663,218337.44,101750,5.4151864,462.92,229.63191390037537,0.00811222,0.0,0.45483720302581787,-4861.308925244439,-0.01704628,2
248,0.0,-5745.18599066937,16.497434004215318,241872.45,103671,5.434114,464.2,234.19099283218384,0.005950984,0.0,0.30194294452667236,-4939.741863651156,-0.015192529,4
254,0.0,-5350.579997651663,16.37360398409136,140048.66,106433,5.428512,469.82,238.76819109916687,0.0063178227,0.0,0.2721729874610901,-4855.594889390343,-0.017232157,6
259,0.0,-5168.990504394965,16.388371628946363,94312.8,108126,5.4352927,474.86,243.38218784332275,0.008164255,0.0,0.5109403133392334,-4805.431530301973,-0.017845832,5
261,0.0,-5061.778181326479,16.422214300276465,112824.94,110154,5.447271,482.65,247.90879201889038,0.007264766,0.0,0.06466513872146606,-4841.07909319041,-0.017624222,2
268,0.0,-5203.228309371961,16.482646998020694,191135.62,112554,5.409285,462.58,252.48441767692566,0.0072010355,0.0,0.019359469413757324,-4942.431593069624,-0.021074485,7
272,0.0,-5330.060041408936,16.479960109532993,107216.195,114573,5.4404655,475.53,257.05541014671326,0.0063264887,0.0,0.26812034845352173,-4955.22231582545,-0.016913755,4
275,0.0,-5738.585028060708,16.569345749439652,132257.66,116667,5.4200606,484.07,261.6137397289276,0.0070536016,0.0,0.19455647468566895,-5042.818813538776,-0.018747361,3
279,0.0,-5563.3265349979165,16.489092447989055,116655.164,118675,5.433925,494.81,266.2543544769287,0.006221264,0.0,0.5301114022731781,-4952.9936593111825,-0.012381479,4
283,0.0,-5618.776519140034,16.504512721872796,156090.08,120389,5.419206,498.29,270.8458788394928,0.005825583,0.0,0.06944149732589722,-4996.097909896824,-0.015323254,4
285,0.0,-5730.409219451878,16.599409719239183,68969.45,122563,5.4265,506.09,275.5240886211395,0.006451003,0.0,0.3804231882095337,-5062.071759432757,-0.012327503,2
288,0.0,-5690.786116269953,16.623390292468187,104622.44,124272,5.435369,511.18,280.16222500801086,0.0058038537,0.0,0.4629780054092407,-5040.208799726096,-0.012031781,3
292,0.0,-6013.602682880545,16.70609883457855,155586.06,126748,5.439382,523.63,284.71438455581665,0.0078763645,0.0,0.2575724124908447,-5147.066222784179,-0.018452507,4
295,0.0,-5968.709828852017,16.686808673479284,49383.008,128981,5.4393296,530.67,289.33619236946106,0.0042686304,0.0,0.10131984949111938,-5130.684085655231,-0.012850694,3
301,0.0,-5757.092140484118,16.621660361002252,62190.293,130921,5.429066,516.99,293.89969873428345,0.005317786,0.0,0.5686853528022766,-5072.793246832257,-0.015305699,6
304,0.0,-5920.067055646214,16.615939822410503,100076.44,132843,5.3982596,518.96,298.45592427253723,0.007396183,0.0,0.19764870405197144,-5058.041042550542,-0.01662187,3
310,0.0,-5615.155333439714,16.524315149840913,188022.03,134972,5.3825793,513.83,303.0174300670624,0.006265003,0.0,0.40190327167510986,-4991.3815327477705,-0.013027347,6
314,0.0,-5717.38280398033,16.514930234638808,163343.95,136582,5.380158,504.33,307.63232016563416,0.0068516964,0.0,0.4473857283592224,-5028.018700410992,-0.01838718,4
316,0.0,-5779.127579708756,16.497163447826484,125892.64,139152,5.3830667,519.86,312.1873924732208,0.0075072967,0.0,0.019410014152526855,-5037.22510855735,-0.013894542,2
321,0.0,-5829.2964051098215,16.524485268095443,228704.69,141166,5.3772283,511.32,316.7452025413513,0.0073837605,0.0,0.3902185559272766,-5050.6016653308825,-0.020022105,5
325,0.0,-5963.8141232179005,16.555454248557187,43052.395,143071,5.382034,507.55,321.32493782043457,0.006177093,0.0,0.6817124485969543,-5065.268040316381,-0.015925039,4
329,0.0,-6148.416784300888,16.61413485372133,179961.75,145271,5.3714585,509.96,325.90410470962524,0.0047981525,0.0,0.3287563920021057,-5105.763307247629,-0.0146618625,4
332,0.0030120481927710845,-6233.423545827269,16.580639195771578,171015.5,147042,5.3682084,512.0,330.5534691810608,0.0062770313,0.0,0.5159499049186707,-5104.20865640117,-0.014829626,3
337,0.002967359050445104,-5794.988164080789,16.49614962956944,78264.47,149409,5.337172,511.26,335.1911404132843,0.009019302,0.0,0.4549596905708313,-5013.257152911162,-0.017556118,5
340,0.0029411764705882353,-5711.565973584171,16.47768748597542,218827.55,150976,5.311447,512.61,339.72036242485046,0.005676701,0.0,0.47682881355285645,-5006.094056905226,-0.014629586,3
348,0.0028735632183908046,-4916.00118684637,16.36893256536755,117441.18,153377,5.3307953,497.06,344.35996556282043,0.0077040554,0.0,0.48744940757751465,-4932.919830086562,-0.018379038,8
352,0.002840909090909091,-5020.072514146869,16.35822823124355,216475.42,155455,5.327087,494.56,348.9324600696564,0.0062192455,0.0,0.5348626971244812,-4917.229229724265,-0.014355685,4
356,0.0028089887640449437,-5030.40828420022,16.321585015288424,87310.08,157641,5.3470464,504.03,353.50271344184875,0.0054116156,0.0,0.4715847969055176,-4902.149275719361,-0.015746675,4
362,0.0027624309392265192,-4714.216919748362,16.33764192308511,86132.805,159582,5.3825545,487.4,358.0407199859619,0.006091509,0.0,0.7006598711013794,-4848.975811225266,-0.013682944,6
366,0.00273224043715847,-4645.731505857911,16.338865790340726,133767.83,161592,5.3696437,498.77,362.6122148036957,0.005367134,0.0,0.6770199835300446,-4842.48891249469,-0.016713567,4
373,0.002680965147453083,-4388.003042321414,16.33065119604396,135903.89,163149,5.4161944,478.2,367.1719195842743,0.004665464,0.0,0.4136638045310974,-4824.330076783312,-0.017748121,7
378,0.0026455026455026454,-4628.666068545339,16.334430660265035,119651.586,165389,5.386185,472.59,371.7778444290161,0.0054890853,0.0,0.42960745096206665,-4866.987447033936,-0.014238109,5
382,0.002617801047120419,-4358.758141086657,16.312949617036697,88139.77,167696,5.3997054,475.21,376.339608669281,0.00614839,0.0,0.4497923254966736,-4843.74829783292,-0.014450961,4
388,0.002577319587628866,-4194.811241466568,16.2701754236473,105279.94,169937,5.3785405,456.65,380.9291799068451,0.0056215413,0.0,0.6151284277439117,-4822.322831102507,-0.016432447,6
393,0.002544529262086514,-3680.475554981102,16.223743915886743,74376.266,171958,5.3677773,448.95,385.57666397094727,0.0043448694,0.0,0.6025951504707336,-4760.765508544949,-0.013534285,5
398,0.002512562814070352,-3760.191995229608,16.28574539587015,91981.375,173394,5.3545384,436.46,390.1535563468933,0.00487352,0.0,0.6843470335006714,-4776.090011147702,-0.01634208,5
405,0.0024691358024691358,-3625.058108598399,16.25118735723463,67735.76,176039,5.3600144,425.96,394.76353883743286,0.008122774,0.0,0.37019747495651245,-4736.483326886437,-0.020387517,7
410,0.0024390243902439024,-3781.327615431518,16.20077021756618,66636.555,177739,5.3825936,427.67,399.3034658432007,0.0064218175,0.0,0.5010631680488586,-4696.24643096332,-0.015212919,5
414,0.0024154589371980675,-3441.134785769231,16.164978815321845,98291.56,179377,5.4016576,427.95,403.8815793991089,0.00644809,0.0,0.585511714220047,-4644.713407019262,-0.01681568,4
418,0.0023923444976076554,-3250.86230262336,16.121554450023986,104217.33,181903,5.3909755,418.93,408.47205090522766,0.005064781,0.0,0.43500202894210815,-4615.548045897718,-0.014818864,4
422,0.002369668246445498,-3122.594816767719,16.089822179646163,50182.02,183995,5.372741,423.6,413.0776541233063,0.005480927,0.0,0.5003354549407959,-4598.401842217439,-0.01788624,4
428,0.002336448598130841,-2786.236329467082,16.030372804355594,46583.53,185966,5.386622,408.07,417.6393141746521,0.0039734533,0.0,0.03394114971160889,-4572.31224458732,-0.01334282,6
433,0.0023094688221709007,-2617.6263768284443,15.99111168517127,57357.12,188321,5.3866677,406.12,422.21487307548523,0.006835286,0.0,0.512703001499176,-4512.778476482697,-0.0147214625,5
440,0.0022727272727272726,-2514.108041007379,15.928951119722038,76756.016,190419,5.38386,394.43,426.7947885990143,0.007017209,0.0,0.7128089368343353,-4439.733598746624,-0.01580254,7
448,0.002232142857142857,-2387.279526071805,15.832220141342722,40034.586,192446,5.373073,390.69,431.4006452560425,0.006435839,0.0,0.5050257444381714,-4364.696547940412,-0.014710182,8
456,0.0021929824561403508,-2214.738510801836,15.803209321486428,54917.71,194322,5.3670335,366.81,435.9850797653198,0.0061202804,0.0,0.4194066524505615,-4312.8048097286755,-0.017395701,8
461,0.0021691973969631237,-2144.332707880432,15.743524811645557,145502.81,196594,5.3838944,371.14,440.55678725242615,0.0055937213,0.0,0.5491091310977936,-4272.361420638147,-0.01986344,5
467,0.0021413276231263384,-2067.8465761610814,15.681005885787934,123050.164,198587,5.373611,366.8,445.1583299636841,0.0056902026,0.0,0.6588507294654846,-4244.472993533023,-0.01787226,6
473,0.0021141649048625794,-1794.2701180446131,15.629226242383307,35913.906,200562,5.365459,374.13,449.7571210861206,0.0058252625,0.0,0.7438429296016693,-4183.72543434384,-0.017244281,6
482,0.002074688796680498,-1264.0580297487404,15.551976994414158,48193.723,202693,5.3530126,349.97,454.3947877883911,0.0039057995,0.0,0.6080941259860992,-4101.0739683548745,-0.015479931,9
489,0.002044989775051125,-1044.8581498825465,15.545857031311733,67442.89,204596,5.347133,345.58,459.03805804252625,0.008308813,0.0,0.6454044282436371,-4041.0057994234644,-0.018724527,7
494,0.0020242914979757085,-1013.7999213946257,15.495198671111385,34523.71,206403,5.336516,343.34,463.64542031288147,0.0067865513,0.0,0.5353395938873291,-3993.9455364025443,-0.017036181,5
499,0.002004008016032064,-752.3328562748295,15.427363084937866,51154.51,208873,5.3357654,347.21,468.2152407169342,0.0047890726,0.0,0.5034542977809906,-3958.795345075968,-0.015680002,5
502,0.00199203187250996,-573.6578274089458,15.38303325106578,85056.984,210792,5.330627,352.84,472.78195309638977,0.005635236,0.0,0.699843019247055,-3929.1981873914324,-0.015984122,3
508,0.001968503937007874,-642.8715901370201,15.365750660708963,77524.13,212960,5.336243,360.54,477.41743516921997,0.0067189396,0.0,0.6108113825321198,-3907.174799802199,-0.018259987,6
513,0.001949317738791423,-448.1820181193739,15.294972276954182,70487.24,214781,5.348598,357.58,482.22774386405945,0.0060116937,0.0,0.6994531154632568,-3840.121005663119,-0.020301547,5
515,0.001941747572815534,-533.8020989931706,15.281720931130947,77635.96,216912,5.341019,365.92,486.82621693611145,0.004244175,0.0,0.6329469084739685,-3835.1119437332536,-0.015940186,2
